mean_return,std_return,mean_object_goal_distance,std_object_goal_distance,success_rate,mean_fingertip_object_distance,std_fingertip_object_distance,mean_control_effort,std_control_effort,algorithm,steps
-166.5318475,14.21377608,0.211046351,0.034423749,0,0.677100423,0.094309799,5.39E-06,2.64E-07,PPO,0
-130.9489097,8.59455379,0.210810288,0.035187029,0,0.423749188,0.013648543,0.080546803,0.004787126,PPO,10000
-121.1872615,10.95655074,0.22279803,0.028678735,0,0.317334955,0.058652563,0.238960231,0.0062696,PPO,20000
-107.3530832,12.33845951,0.207476131,0.048127577,0,0.260487301,0.056775601,0.13260187,0.011151964,PPO,30000
-108.5488603,11.47739789,0.225682015,0.052837305,0,0.249345665,0.079916249,0.105708591,0.005474756,PPO,40000
-103.2340452,11.68160781,0.225588309,0.046488206,0,0.225893961,0.061763274,0.05954495,0.003031086,PPO,50000
-108.8503776,14.45810446,0.234970978,0.074541446,0,0.239527547,0.07461048,0.085768737,0.008498548,PPO,60000
-104.462922,16.88292015,0.213469623,0.04997384,0,0.245216052,0.076941478,0.074009803,0.00569246,PPO,70000
-105.1112463,15.11082984,0.237481111,0.037805445,0,0.217553559,0.067822298,0.065322943,0.002110299,PPO,80000
-100.0045888,12.65808186,0.250859925,0.071473805,0,0.170786963,0.046767892,0.06012208,0.002035404,PPO,90000
-100.796111,13.44010515,0.263656601,0.051490969,0,0.164730803,0.033419555,0.079527079,0.002569928,PPO,100000
