episode,episode_return,final_planar_distance,success,mean_fingertip_object_distance,mean_control_effort,execution_time_seconds,steps
1,-343.77898921224414,0.0487978107757602,1.0,0.09564654268406461,9.137949928442637,0.09142799998517148,300
2,-330.2110312869533,0.41893952758926106,0.0,0.04838322207259621,7.081322927077611,0.10411719998228364,300
3,-291.5881447358445,0.0036221690455086903,1.0,0.0988890555580161,7.901612704992294,0.08368199999677017,300
4,-317.15019621417224,0.01961406505214313,1.0,0.09637709928326292,8.48622149626414,0.08545199999934994,300
5,-277.7941494604238,0.06306704904804032,0.0,0.0917619666509078,7.2384883264700575,0.08140759999514557,300
6,-270.7823495033514,0.08130261837954601,0.0,0.08659525683787236,6.861361438830693,0.08993799999007024,300
7,-301.35555022834836,0.3579429738639815,0.0,0.048637058400446825,6.675287258625031,0.10135709997848608,300
8,-256.0963827046439,0.20068872587630215,0.0,0.08675690461826126,5.898523767590523,0.08952339997631498,300
9,-341.3543314578267,0.3004555268260134,0.0,0.08374652959230389,8.648833080927531,0.09591499998350628,300
10,-369.60910858097185,0.33843696290066977,0.0,0.08072157166755264,9.195558013518651,0.09234589998959564,300
11,-310.7099065635326,0.3072149339066607,0.0,0.05304755765660122,7.820573580265045,0.09895520002464764,300
12,-314.79935334214343,0.32230272788444647,0.0,0.0568911715445315,7.655489413738251,0.10081979999085888,300
13,-273.87639469795806,0.12092249678275416,0.0,0.0882652057292151,6.766267986098925,0.08833339999546297,300
14,-317.53133835586425,0.32406668903625324,0.0,0.054117107829163874,7.813239259719849,0.09964209998724982,300
15,-294.44365002218365,0.331429318071583,0.0,0.048214330191587794,6.941133841673533,0.10111049999250099,300
16,-307.4018809865636,0.3203702504019718,0.0,0.04634576451253312,7.08083061337471,0.09829210001043975,300
17,-177.11577890179817,0.8161534267410226,0.0,0.1169930962247854,0.9563715229835361,0.09503039999981411,300
18,-330.12729553109915,0.29850730099577677,0.0,0.05850540396014644,8.485499227841695,0.09875150001607835,300
19,-304.3431615089512,0.33034599672833803,0.0,0.04975834205476954,7.00102316180865,0.0942813000001479,300
20,-348.06083222968505,0.033504944596628596,1.0,0.09854883834555059,9.211216510136921,0.08399939999799244,300
